seriename,date,value
AUT,1.6.2000,-0.03618
AUT,1.9.2000,-0.03682
AUT,1.12.2000,-0.03805
AUT,1.3.2001,-0.03951
AUT,1.6.2001,-0.04067
AUT,1.9.2001,-0.04099
AUT,1.12.2001,-0.03987
AUT,1.3.2002,-0.03686
AUT,1.6.2002,-0.03185
AUT,1.9.2002,-0.02477
AUT,1.12.2002,-0.01564
AUT,1.3.2003,-0.00473
AUT,1.6.2003,0.00759
AUT,1.9.2003,0.02093
AUT,1.12.2003,0.03466
AUT,1.3.2004,0.04812
AUT,1.6.2004,0.0609
AUT,1.9.2004,0.07248
AUT,1.12.2004,0.08237
AUT,1.3.2005,0.09004
AUT,1.6.2005,0.09459
AUT,1.9.2005,0.09502
AUT,1.12.2005,0.09079
AUT,1.3.2006,0.08168
AUT,1.6.2006,0.06763
AUT,1.9.2006,0.04893
AUT,1.12.2006,0.02616
AUT,1.3.2007,0.00041
AUT,1.6.2007,-0.02605
AUT,1.9.2007,-0.05049
AUT,1.12.2007,-0.0707
AUT,1.3.2008,-0.0851
AUT,1.6.2008,-0.0927
AUT,1.9.2008,-0.09311
AUT,1.12.2008,-0.08624
AUT,1.3.2009,-0.07284
AUT,1.6.2009,-0.05521
AUT,1.9.2009,-0.03633
AUT,1.12.2009,-0.01877
AUT,1.3.2010,-0.00429
AUT,1.6.2010,0.00632
AUT,1.9.2010,0.01277
AUT,1.12.2010,0.01485
AUT,1.3.2011,0.01288
AUT,1.6.2011,0.00827
AUT,1.9.2011,0.00296
AUT,1.12.2011,-0.00138
AUT,1.3.2012,-0.00392
AUT,1.6.2012,-0.00486
AUT,1.9.2012,-0.00472
AUT,1.12.2012,-0.00387
AUT,1.3.2013,-0.00268
AUT,1.6.2013,-0.00174
AUT,1.9.2013,-0.00181
AUT,1.12.2013,-0.00351
AUT,1.3.2014,-0.00677
AUT,1.6.2014,-0.01071
AUT,1.9.2014,-0.0142
AUT,1.12.2014,-0.01619
AUT,1.3.2015,-0.016
AUT,1.6.2015,-0.01334
AUT,1.9.2015,-0.00802
AUT,1.12.2015,0
AUT,1.3.2016,0.01022
AUT,1.6.2016,0.0217
AUT,1.9.2016,0.03306
AUT,1.12.2016,0.04282
