seriename,date,value
AUT,1.6.2000,-0.03547
AUT,1.9.2000,-0.03612
AUT,1.12.2000,-0.03738
AUT,1.3.2001,-0.03888
AUT,1.6.2001,-0.0401
AUT,1.9.2001,-0.04049
AUT,1.12.2001,-0.03945
AUT,1.3.2002,-0.03654
AUT,1.6.2002,-0.03162
AUT,1.9.2002,-0.02466
AUT,1.12.2002,-0.01566
AUT,1.3.2003,-0.00488
AUT,1.6.2003,0.0073
AUT,1.9.2003,0.02049
AUT,1.12.2003,0.03407
AUT,1.3.2004,0.04739
AUT,1.6.2004,0.06001
AUT,1.9.2004,0.07145
AUT,1.12.2004,0.08119
AUT,1.3.2005,0.08872
AUT,1.6.2005,0.09315
AUT,1.9.2005,0.09347
AUT,1.12.2005,0.08914
AUT,1.3.2006,0.07995
AUT,1.6.2006,0.06583
AUT,1.9.2006,0.04708
AUT,1.12.2006,0.02427
AUT,1.3.2007,-0.00149
AUT,1.6.2007,-0.02795
AUT,1.9.2007,-0.05238
AUT,1.12.2007,-0.07256
AUT,1.3.2008,-0.08692
AUT,1.6.2008,-0.09447
AUT,1.9.2008,-0.09482
AUT,1.12.2008,-0.08785
AUT,1.3.2009,-0.0743
AUT,1.6.2009,-0.05646
AUT,1.9.2009,-0.03728
AUT,1.12.2009,-0.01933
AUT,1.3.2010,-0.00432
AUT,1.6.2010,0.00693
AUT,1.9.2010,0.01412
AUT,1.12.2010,0.01698
AUT,1.3.2011,0.01579
AUT,1.6.2011,0.01189
AUT,1.9.2011,0.00717
AUT,1.12.2011,0.00325
AUT,1.3.2012,0.00095
AUT,1.6.2012,0.00011
AUT,1.9.2012,0.00029
AUT,1.12.2012,0.00124
AUT,1.3.2013,0.0027
AUT,1.6.2013,0.00422
AUT,1.9.2013,0.00512
AUT,1.12.2013,0.00486
AUT,1.3.2014,0.00343
AUT,1.6.2014,0.00151
AUT,1.9.2014,-0.00011
AUT,1.12.2014,-0.00079
AUT,1.3.2015,-0.00021
AUT,1.6.2015,0.00164
AUT,1.9.2015,0.00464
AUT,1.12.2015,0.0086
AUT,1.3.2016,0.01304
AUT,1.6.2016,0.0173
AUT,1.9.2016,0.02066
AUT,1.12.2016,0.02252
BEL,1.9.1985,0.04028
BEL,1.12.1985,0.03783
BEL,1.3.1986,0.03305
BEL,1.6.1986,0.02681
BEL,1.9.1986,0.02012
BEL,1.12.1986,0.0139
BEL,1.3.1987,0.00908
BEL,1.6.1987,0.00618
BEL,1.9.1987,0.00512
BEL,1.12.1987,0.0058
BEL,1.3.1988,0.00783
BEL,1.6.1988,0.01011
BEL,1.9.1988,0.01156
BEL,1.12.1988,0.01129
BEL,1.3.1989,0.00855
BEL,1.6.1989,0.00323
BEL,1.9.1989,-0.00432
BEL,1.12.1989,-0.0137
BEL,1.3.1990,-0.02411
BEL,1.6.1990,-0.03415
BEL,1.9.1990,-0.04254
BEL,1.12.1990,-0.04823
BEL,1.3.1991,-0.0504
BEL,1.6.1991,-0.04898
BEL,1.9.1991,-0.0443
BEL,1.12.1991,-0.03681
BEL,1.3.1992,-0.02738
BEL,1.6.1992,-0.01734
BEL,1.9.1992,-0.00795
BEL,1.12.1992,-0.00038
BEL,1.3.1993,0.00446
BEL,1.6.1993,0.00636
BEL,1.9.1993,0.00545
BEL,1.12.1993,0.00203
BEL,1.3.1994,-0.00317
BEL,1.6.1994,-0.0091
BEL,1.9.1994,-0.01464
BEL,1.12.1994,-0.01857
BEL,1.3.1995,-0.01987
BEL,1.6.1995,-0.01807
BEL,1.9.1995,-0.01306
BEL,1.12.1995,-0.00495
BEL,1.3.1996,0.0057
BEL,1.6.1996,0.01801
BEL,1.9.1996,0.03089
BEL,1.12.1996,0.04292
BEL,1.3.1997,0.05285
BEL,1.6.1997,0.05986
BEL,1.9.1997,0.06331
BEL,1.12.1997,0.06287
BEL,1.3.1998,0.05867
BEL,1.6.1998,0.0511
