seriename,date,value
BEL,1.9.2009,-0.03666
BEL,1.12.2009,-0.02467
BEL,1.3.2010,-0.01439
BEL,1.6.2010,-0.00636
BEL,1.9.2010,-0.00087
BEL,1.12.2010,0.00197
BEL,1.3.2011,0.00246
BEL,1.6.2011,0.00154
BEL,1.9.2011,0.00051
BEL,1.12.2011,0.0005
BEL,1.3.2012,0.00197
BEL,1.6.2012,0.00477
BEL,1.9.2012,0.00857
BEL,1.12.2012,0.01308
BEL,1.3.2013,0.01798
BEL,1.6.2013,0.02276
BEL,1.9.2013,0.02663
BEL,1.12.2013,0.02895
BEL,1.3.2014,0.02954
BEL,1.6.2014,0.02868
BEL,1.9.2014,0.0267
BEL,1.12.2014,0.0239
BEL,1.3.2015,0.02039
BEL,1.6.2015,0.01631
BEL,1.9.2015,0.01198
BEL,1.12.2015,0.00772
BEL,1.3.2016,0.00362
BEL,1.6.2016,-0.00041
BEL,1.9.2016,-0.00449
BEL,1.12.2016,-0.00862
BEL,1.3.2017,-0.01261
BEL,1.6.2017,-0.01621
BEL,1.9.2017,-0.01935
BEL,1.12.2017,-0.02195
BEL,1.3.2018,-0.02388
BEL,1.6.2018,-0.02493
DEU,1.6.1970,-0.00752
DEU,1.9.1970,-0.00484
DEU,1.12.1970,-0.00016
DEU,1.3.1971,0.00552
DEU,1.6.1971,0.01111
DEU,1.9.1971,0.01558
DEU,1.12.1971,0.01809
DEU,1.3.1972,0.018
DEU,1.6.1972,0.01501
DEU,1.9.1972,0.00944
DEU,1.12.1972,0.00217
DEU,1.3.1973,-0.00566
DEU,1.6.1973,-0.01291
DEU,1.9.1973,-0.01861
DEU,1.12.1973,-0.02216
DEU,1.3.1974,-0.02322
DEU,1.6.1974,-0.02175
DEU,1.9.1974,-0.01819
DEU,1.12.1974,-0.0132
DEU,1.3.1975,-0.00758
DEU,1.6.1975,-0.00208
DEU,1.9.1975,0.00278
DEU,1.12.1975,0.00669
DEU,1.3.1976,0.0095
DEU,1.6.1976,0.0113
DEU,1.9.1976,0.01234
DEU,1.12.1976,0.01291
DEU,1.3.1977,0.01319
DEU,1.6.1977,0.01326
DEU,1.9.1977,0.01299
DEU,1.12.1977,0.01228
DEU,1.3.1978,0.01107
DEU,1.6.1978,0.00922
DEU,1.9.1978,0.0066
DEU,1.12.1978,0.00312
DEU,1.3.1979,-0.00114
DEU,1.6.1979,-0.00591
DEU,1.9.1979,-0.01073
DEU,1.12.1979,-0.0152
DEU,1.3.1980,-0.01908
DEU,1.6.1980,-0.02212
DEU,1.9.1980,-0.02414
DEU,1.12.1980,-0.02496
DEU,1.3.1981,-0.02446
DEU,1.6.1981,-0.02272
DEU,1.9.1981,-0.02009
DEU,1.12.1981,-0.0169
DEU,1.3.1982,-0.01335
DEU,1.6.1982,-0.00953
DEU,1.9.1982,-0.00538
DEU,1.12.1982,-0.00087
DEU,1.3.1983,0.00395
DEU,1.6.1983,0.00914
DEU,1.9.1983,0.01496
DEU,1.12.1983,0.02156
DEU,1.3.1984,0.02888
DEU,1.6.1984,0.0364
DEU,1.9.1984,0.04313
DEU,1.12.1984,0.04809
DEU,1.3.1985,0.05048
DEU,1.6.1985,0.04957
DEU,1.9.1985,0.04476
DEU,1.12.1985,0.03574
DEU,1.3.1986,0.02266
DEU,1.6.1986,0.00666
DEU,1.9.1986,-0.01034
DEU,1.12.1986,-0.02633
DEU,1.3.1987,-0.03953
DEU,1.6.1987,-0.04846
DEU,1.9.1987,-0.05215
DEU,1.12.1987,-0.04998
DEU,1.3.1988,-0.04197
DEU,1.6.1988,-0.02935
DEU,1.9.1988,-0.01426
DEU,1.12.1988,0.00104
DEU,1.3.1989,0.01446
DEU,1.6.1989,0.02443
DEU,1.9.1989,0.02997
DEU,1.12.1989,0.03042
DEU,1.3.1990,0.02566
DEU,1.6.1990,0.01669
DEU,1.9.1990,0.00518
DEU,1.12.1990,-0.00701
DEU,1.3.1991,-0.01813
DEU,1.6.1991,-0.02688
DEU,1.9.1991,-0.03255
DEU,1.12.1991,-0.03459
DEU,1.3.1992,-0.03293
DEU,1.6.1992,-0.02827
DEU,1.9.1992,-0.02173
DEU,1.12.1992,-0.01458
DEU,1.3.1993,-0.00811
DEU,1.6.1993,-0.0032
DEU,1.9.1993,-0.00024
DEU,1.12.1993,0.00052
DEU,1.3.1994,-0.00075
DEU,1.6.1994,-0.00336
DEU,1.9.1994,-0.00644
DEU,1.12.1994,-0.00897
DEU,1.3.1995,-0.00995
DEU,1.6.1995,-0.00884
DEU,1.9.1995,-0.00553
DEU,1.12.1995,-0.0001
DEU,1.3.1996,0.00701
DEU,1.6.1996,0.01508
DEU,1.9.1996,0.02338
DEU,1.12.1996,0.03102
DEU,1.3.1997,0.03723
DEU,1.6.1997,0.04174
DEU,1.9.1997,0.04459
DEU,1.12.1997,0.04596
DEU,1.3.1998,0.04618
DEU,1.6.1998,0.04549
DEU,1.9.1998,0.04398
DEU,1.12.1998,0.04184
DEU,1.3.1999,0.03899
DEU,1.6.1999,0.03491
