seriename,date,value
BEL,1.9.2000,-0.041
BEL,1.12.2000,-0.047
BEL,1.3.2001,-0.053
BEL,1.6.2001,-0.059
BEL,1.9.2001,-0.062
BEL,1.12.2001,-0.064
BEL,1.3.2002,-0.063
BEL,1.6.2002,-0.059
BEL,1.9.2002,-0.053
BEL,1.12.2002,-0.042
BEL,1.3.2003,-0.029
BEL,1.6.2003,-0.014
BEL,1.9.2003,0.003
BEL,1.12.2003,0.019
BEL,1.3.2004,0.035
BEL,1.6.2004,0.05
BEL,1.9.2004,0.063
BEL,1.12.2004,0.073
BEL,1.3.2005,0.08
BEL,1.6.2005,0.083
BEL,1.9.2005,0.083
BEL,1.12.2005,0.079
BEL,1.3.2006,0.071
BEL,1.6.2006,0.06
BEL,1.9.2006,0.045
BEL,1.12.2006,0.027
BEL,1.3.2007,0.007
BEL,1.6.2007,-0.013
BEL,1.9.2007,-0.033
BEL,1.12.2007,-0.049
BEL,1.3.2008,-0.062
BEL,1.6.2008,-0.07
BEL,1.9.2008,-0.073
BEL,1.12.2008,-0.07
BEL,1.3.2009,-0.063
BEL,1.6.2009,-0.052
BEL,1.9.2009,-0.04
BEL,1.12.2009,-0.028
BEL,1.3.2010,-0.017
BEL,1.6.2010,-0.009
BEL,1.9.2010,-0.003
BEL,1.12.2010,0
BEL,1.3.2011,0
BEL,1.6.2011,-0.001
BEL,1.9.2011,-0.002
BEL,1.12.2011,-0.002
BEL,1.3.2012,-0.001
BEL,1.6.2012,0.002
BEL,1.9.2012,0.006
BEL,1.12.2012,0.011
BEL,1.3.2013,0.017
BEL,1.6.2013,0.022
BEL,1.9.2013,0.026
BEL,1.12.2013,0.029
BEL,1.3.2014,0.029
BEL,1.6.2014,0.028
BEL,1.9.2014,0.025
BEL,1.12.2014,0.02
BEL,1.3.2015,0.014
BEL,1.6.2015,0.008
BEL,1.9.2015,0.001
BEL,1.12.2015,-0.005
BEL,1.3.2016,-0.011
BEL,1.6.2016,-0.015
BEL,1.9.2016,-0.018
BEL,1.12.2016,-0.02
DEU,1.6.1970,-0.008
DEU,1.9.1970,-0.005
DEU,1.12.1970,-0.001
DEU,1.3.1971,0.005
DEU,1.6.1971,0.011
DEU,1.9.1971,0.015
DEU,1.12.1971,0.018
DEU,1.3.1972,0.018
DEU,1.6.1972,0.015
DEU,1.9.1972,0.01
DEU,1.12.1972,0.002
DEU,1.3.1973,-0.005
DEU,1.6.1973,-0.013
DEU,1.9.1973,-0.018
DEU,1.12.1973,-0.022
DEU,1.3.1974,-0.023
DEU,1.6.1974,-0.022
DEU,1.9.1974,-0.018
DEU,1.12.1974,-0.013
DEU,1.3.1975,-0.008
DEU,1.6.1975,-0.002
DEU,1.9.1975,0.003
DEU,1.12.1975,0.007
DEU,1.3.1976,0.01
DEU,1.6.1976,0.011
